,productLink,actualPrice,suggPrice,numReviews,avgRating,questions,answers,brand,producedIn,productCategory
1607,https://www.surlatable.com/product/PRO-611731/Ateco+Stainless+Steel+Rectangle+Mold,5.99,8.0,0.0,0.0,3,4,: Ateco,,Bakeware
1608,https://www.surlatable.com/product/PRO-322722/Sur+La+Table+Porcelain+Round+Creme+Brulee+Dish+with+Handles,3.56,6.0,5.0,5.0,4,30,: Sur La Table,China exclusively for Sur La Table,Bakeware
1609,https://www.surlatable.com/product/PRO-677591/Gobel+Nonstick+Mini+Madeleine+Mold,,,,,,,,,
1610,https://www.surlatable.com/product/PRO-2585925/Sur+La+Table+Platinum+Professional+Madeleine+Pan,30.00,0.0,3.0,5.0,3,31,: Sur La Table,the USA exclusively for Sur La Table,Bakeware
1611,https://www.surlatable.com/product/PRO-168526/J+K+Adams+Dowel+Rolling+Pin,15.00,0.0,14.0,4.714285714285714,4,65,: J.K. Adams,,Bakeware
1612,https://www.surlatable.com/product/PRO-611756/Ateco+Stainless+Steel+Hexagon+Mold,5.99,8.0,1.0,4.0,1,3,: Ateco,,Bakeware
1613,https://www.surlatable.com/product/PRO-1432228/Lekue+9+Cavity+Madeleine+Mold,15.00,0.0,2.0,4.5,2,11,: Lékué,,Bakeware
1614,https://www.surlatable.com/product/PRO-2509677/Sur+La+Table+Porcelain+Round+Souffle+Dish+with+Ribbed+Sides,2.36,20.0,7.0,5.0,3,54,: Sur La Table,China exclusively for Sur La Table,Bakeware
1615,https://www.surlatable.com/product/PRO-2509693/Sur+La+Table+Porcelain+Oval+Ramekin+with+Ribbed+Sides,1.76,5.0,0.0,0.0,1,12,: Sur La Table,China exclusively for Sur La Table,Bakeware
1616,https://www.surlatable.com/product/PRO-381822/Nordic+Ware+Shortbread+Mold,,,,,,,,,
1617,https://www.surlatable.com/product/PRO-611723/Ateco+Stainless+Steel+Square+Mold,5.99,8.0,0.0,0.0,3,10,: Ateco,,Bakeware
1618,https://www.surlatable.com/product/PRO-2918050/Pearl+Stoneware+Ramekin,10.00,0.0,2.0,5.0,4,35,: Sur La Table,Portugal exclusively for Sur La Table,Bakeware
1619,https://www.surlatable.com/product/PRO-3660115/Revol+Souffle+Ramekins,39.95,0.0,0.0,0.0,2,7,: Revol,France,Bakeware
1620,https://www.surlatable.com/product/PRO-7420/Gobel+Nonstick+Barquette++Mold,3.00,0.0,0.0,0.0,3,4,: Gobel,,Bakeware
1621,https://www.surlatable.com/product/PRO-3982568/USA+Pan+Fluted+Tube+Cake+Pan,25.00,0.0,0.0,0.0,1,1,: USA Pan,the USA,Bakeware
1622,https://www.surlatable.com/product/PRO-703611/Gobel+Flan+Ring,,,,,,,,,
1623,https://www.surlatable.com/product/PRO-677575/Gobel+Mini+Madeleine+Mold,,,,,,,,,
1624,https://www.surlatable.com/product/PRO-548230/Rolling+Pin+Rings,9.95,0.0,3.0,4.666666666666667,8,63,: Regency,,Bakeware
1625,https://www.surlatable.com/product/PRO-677567/Gobel+Madeleine+Mold,,,,,,,,,
1626,https://www.surlatable.com/product/PRO-1750371/Mauviel+Mpassion+Canele+Mold,29.95,0.0,1.0,5.0,4,21,: Mauviel,France,Bakeware
1627,https://www.surlatable.com/product/PRO-3618626/Emile+Henry+Ramekins,17.95,0.0,1.0,5.0,3,10,: Emile Henry,France,Bakeware
1628,https://www.surlatable.com/product/PRO-7164/Gobel+Nonstick+Fluted+Barquette+Mold,3.00,0.0,0.0,0.0,2,4,: Gobel,,Bakeware
1629,https://www.surlatable.com/product/PRO-1542869/Wilton+Cupcake+Decorating+Set,,,,,,,,,
1630,https://www.surlatable.com/product/PRO-703249/Gobel+Tinned+Steel+Tartlet,,,,,,,,,
1631,https://www.surlatable.com/product/PRO-4324190/Wilton+Flower+%26%2338%3B+Leaf+Tips%2C+Set+of+4+,,,,,,,,,
1632,https://www.surlatable.com/product/PRO-2475077/Ateco+Artist+Brushes+Set+of+5,20.00,0.0,0.0,0.0,1,2,: Ateco,China,Bakeware
1633,https://www.surlatable.com/product/PRO-634113/iSi+Gourmet+Whip+Plus+1+Pint,160.00,0.0,3.0,4.0,11,27,: iSi,Austria,Food
1634,https://www.surlatable.com/product/PRO-4324208/Wilton+4+Piece+Tip+and+Coupler+Set,,,,,,,,,
1635,https://www.surlatable.com/product/PRO-17646/Rosle+Pie+Server,17.00,0.0,1.0,4.0,1,12,: Rösle,,Dining & Home
1636,https://www.surlatable.com/product/PRO-3239225/Ateco+44+Piece+Decorating+Set,10.00,0.0,0.0,0.0,1,3,: Ateco,China,Bakeware
1637,https://www.surlatable.com/product/PRO-2512754/iSi+Easy+Whip+Plus,60.00,0.0,6.0,3.5,8,46,: iSi,China,Food
1638,https://www.surlatable.com/product/PRO-5115910/Emile+Henry+Large+Rectangular+Tart+Dish,,,,,,,,,
1639,https://www.surlatable.com/product/PRO-4324216/Wilton+Drop+Flower+Tips,,,,,,,,,
1640,https://www.surlatable.com/product/PRO-561100/Wilton+Icing+Kit,,,,,,,,,
1641,https://www.surlatable.com/product/PRO-3027/Ateco+Straight+Plastic+Handle+Icing+Spatula,,,,,,,,,
1642,https://www.surlatable.com/product/PRO-4324182/Wilton+Large+Round+%26%2338%3B+Star+Tips,,,,,,,,,
1643,https://www.surlatable.com/product/PRO-1290402/Lekue+Chocolate+Stencil+Kit,30.00,0.0,0.0,0.0,2,10,: Lékué,,Bakeware
1644,https://www.surlatable.com/product/PRO-4324166/Wilton+Extra+Large+Tips,,,,,,,,,
1645,https://www.surlatable.com/product/PRO-5115829/Emile+Henry+Small+Rectangular+Tart+Dish,,,,,,,,,
1646,https://www.surlatable.com/product/PRO-571281/Ateco+Disposable+Pastry+Bags,10.00,0.0,1.0,5.0,2,16,: Ateco,,Bakeware
1647,https://www.surlatable.com/product/PRO-4699971/Star+Wars+Rolling+Pin,,,,,,,,,
1648,https://www.surlatable.com/product/PRO-1052034/Wilton+Fondant+Smoother,,,,,,,,,
1649,https://www.surlatable.com/product/PRO-905976/Fat+Daddios+12+Piece+Large+Pastry+Tip+Set+with+Silicone+Bag,,,,,,,,,
1650,https://www.surlatable.com/product/PRO-4324224/Wilton+Borders+Tips+Set+of+4,6.00,0.0,0.0,0.0,1,1,: Wilton,China,Bakeware
1651,https://www.surlatable.com/product/PRO-5117874/Emile+Henry+Souffle+Dish+2.3+qt.,,,,,,,,,
1652,https://www.surlatable.com/product/PRO-1053784/Wilton+Cake+Leveler,,,,,,,,,
1653,https://www.surlatable.com/product/PRO-561910/Wilton+Flower+Nail+Decorating+Tool,,,,,,,,,
1654,https://www.surlatable.com/product/PRO-5009394/Emile+Henry+Flan+Dish+9.5,39.95,0.0,0.0,0.0,1,1,: Emile Henry,France,Bakeware
1655,https://www.surlatable.com/product/PRO-561092/Wilton+Large+Round+and+Star+Decorating+Tips+Set+,,,,,,,,,
1656,https://www.surlatable.com/product/PRO-24379/Ateco+Cake+Decorating+Set+,9.95,0.0,0.0,0.0,1,3,: Ateco,,Bakeware
1657,https://www.surlatable.com/product/PRO-1052026/Wilton+Icing+Smoother,,,,,,,,,
1658,https://www.surlatable.com/product/PRO-5117866/Emile+Henry+Pie+Dish+9,,,,,,,,,
1659,https://www.surlatable.com/product/PRO-560748/Wilton+Disposable+Decorating+Bags,,,,,,,,,
1660,https://www.surlatable.com/product/PRO-561902/Wilton+Large+Coupler,,,,,,,,,
1661,https://www.surlatable.com/product/PRO-3982683/Wilton+Easy+Blooms+Tip+Set,8.00,0.0,0.0,0.0,1,1,: Wilton,China,Bakeware
1662,https://www.surlatable.com/product/PRO-560722/Wilton+Pastry+Bag+Couplers,,,,,,,,,
1663,https://www.surlatable.com/product/PRO-561118/Wilton+Flower+Decorating+Tips+Set,,,,,,,,,
1664,https://www.surlatable.com/product/PRO-560706/Wilton+Featherweight+Pastry+Bags,,,,,,,,,
1665,https://www.surlatable.com/product/PRO-3040/Ateco+Offset+Plastic+Handle+Icing+Spatula,,,,,,,,,
1666,https://www.surlatable.com/product/PRO-4971149/Kilner+3-Liter+Measure+and+Store+Jar+Set,,,,,,,,,
1667,https://www.surlatable.com/product/PRO-2697126/Wilton+Dots+and+Stripes+Bake+Cups,8.00,0.0,0.0,0.0,1,3,: Wilton,China,Bakeware
1668,https://www.surlatable.com/product/PRO-2800969/Nordic+Ware+Gift+Tags+With+Bakers+Twine+,5.99,8.0,0.0,0.0,1,6,: Nordic Ware,China,Bakeware
1669,https://www.surlatable.com/product/PRO-167882/Tart+Dough+Tamper,,,,,,,,,
1670,https://www.surlatable.com/product/PRO-2697134/Wilton+Primary+Print+Multi-Colored+Mini+Bake+Cups,6.00,0.0,0.0,0.0,1,2,: Wilton,China,Bakeware
1671,https://www.surlatable.com/product/PRO-1678747/OXO+Good+Grips+Measuring+Spoons+Set+of+7,4.95,0.0,3.0,5.0,1,50,: OXO,China,Kitchen Tools
1672,https://www.surlatable.com/product/PRO-4937/Ateco+Adjustable+Dough+Divider,,,,,,,,,
1673,https://www.surlatable.com/product/PRO-2697118/Wilton+Spring+Bake+Cups,8.00,0.0,0.0,0.0,1,4,: Wilton,China,Bakeware
1674,https://www.surlatable.com/product/PRO-2991/Plastic+Scraper,5.00,0.0,7.0,4.714285714285714,3,51,: Parrish's,,Bakeware
1675,https://www.surlatable.com/product/PRO-2915692/Sur+La+Table+Ceramic+Mixing+Bowls,,,,,,,,,
1676,https://www.surlatable.com/product/PRO-926188/OXO+Stainless+Steel+Scale+with+Pull-Out+Display,70.00,0.0,1.0,5.0,3,37,: OXO,,Kitchen Tools
1677,https://www.surlatable.com/product/PRO-1112192/OXO+Adjustable+Measuring+Beaker,,,,,,,,,
1678,https://www.surlatable.com/product/PRO-196321/All-Clad+Ramekins,79.95,100.0,1.0,5.0,2,23,: All-Clad,China,Bakeware
1679,https://www.surlatable.com/product/PRO-478024/Chicago+Metallic+Creme+Brulee+Set,,,,,,,,,
1680,https://www.surlatable.com/product/PRO-611715/Ateco+Stainless+Steel+Oval+Molds,,,,,,,,,
1681,https://www.surlatable.com/product/PRO-4913604/Trudeau+Pro+Seamless+Silicone+Rolling+Pin,,,,,,,,,
1682,https://www.surlatable.com/product/PRO-4324174/Wilton+Small+Round+and+Star+Tips,6.00,0.0,0.0,0.0,1,1,: Wilton,China,Bakeware
1683,https://www.surlatable.com/product/PRO-3440/Ateco+14-Piece+Pastry+Bag+Decorating+Kit,,,,,,,,,
1684,https://www.surlatable.com/product/PRO-1788025/Wilton+Disposable+Decorating+Bag+,6.95,0.0,0.0,0.0,1,7,: Wilton,China,Bakeware
1685,https://www.surlatable.com/product/PRO-403348/iSi+North+American+N2O+Cream+Chargers,,,,,,,,,
1686,https://www.surlatable.com/product/PRO-191841/iSi+North+American+N2O+Cream+Chargers,,,,,,,,,
1687,https://www.surlatable.com/product/PRO-3442/Ateco+Decorating+Set,,,,,,,,,
1688,https://www.surlatable.com/product/PRO-6840/Gobel+Millasson+Mold,4.00,0.0,1.0,4.0,2,4,: Gobel,France,Bakeware
1689,https://www.surlatable.com/product/PRO-4408852/Sur+La+Table+Mommy+and+Me+Snowman+Spatulas,,,,,,,,,
1690,https://www.surlatable.com/product/PRO-3419090/Sur+La+Table+Silicone+Ultimate+Fork,9.95,0.0,98.0,4.846938775510204,6,75,: Sur La Table,China,Kitchen Tools
1691,https://www.surlatable.com/product/PRO-2395408/Sur+La+Table+Flex+Core+Silicone+Spatula+with+Stainless+Steel+Handle,7.99,12.0,12.0,4.083333333333333,5,70,: Sur La Table by Tovolo,China exclusively for Sur La Table,Kitchen Tools
1692,https://www.surlatable.com/product/PRO-3419439/Sur+La+Table+Beechwood+Monogram+Spoon,9.99,14.5,6.0,5.0,1,50,: Sur La Table,China from German beechwood,Kitchen Tools
